lag,correlation,p_value
-48,-0.008251204930466459,0.9243303496707048
-47,0.007491098608072733,0.9310249820115157
-46,0.03441947781903875,0.6896746191073921
-45,0.03673095533619662,0.6688618369323267
-44,0.11087040572939595,0.19382426480918435
-43,0.05387315314613074,0.5272691544981329
-42,0.04797767841304636,0.5721026154081282
-41,0.060307832779997544,0.4758778462956376
-40,0.026811298986240115,0.7505913403405982
-39,0.022295001589095823,0.7908236061646229
-38,0.029692195445792754,0.7229454557350395
-37,0.02634003280338898,0.7523160786748821
-36,0.030959011275765377,0.709711977157521
-35,0.011955085608159229,0.8853331710788354
-34,0.019854003650185408,0.810073145568141
-33,0.05188045320395937,0.5283592830585145
-32,0.0019996471384063977,0.9805591459035378
-31,0.04970171007354841,0.5431334374303408
-30,0.021805346611171526,0.7890556103501366
-29,0.03121961280729714,0.7007098389601716
-28,0.07335116105510521,0.3643829452442278
-27,0.05582104854106033,0.48885109369882435
-26,0.038171967339190545,0.6350404964616456
-25,-0.03561684075151303,0.656838066864551
-24,0.02255656611789067,0.7777754410657326
-23,0.02795085344934633,0.7257009681347291
-22,0.0350393657925332,0.6590168150119363
-21,0.06719265314079344,0.3955691935867317
-20,0.01559648295443753,0.8433563495593726
-19,0.02271024489433454,0.7728524853292126
-18,0.0922033624249941,0.2388442137696784
-17,0.035010390303778324,0.6542930970489035
-16,0.028715380263211437,0.712594913274776
-15,0.043513422880300134,0.575443330751195
-14,0.04972713205426432,0.520839229812277
-13,0.05668619293711426,0.4628054173787061
-12,-0.0027618935176115696,0.9714006803684089
-11,0.011258026963376196,0.8834669691736823
-10,-0.014890712916496763,0.8458253805528803
-9,0.004288073320711988,0.9552174276942933
-8,0.03286544963209945,0.6659086141558785
-7,0.04504929669241649,0.5527198762808667
-6,0.0640191820999493,0.39724373991931633
-5,0.07712696495573902,0.30617662527781425
-4,0.0777594524137941,0.30084194116775104
-3,0.1111699572850678,0.1373532526196169
-2,0.07908604391663879,0.2899273592144833
-1,0.03718255491340438,0.6182469961937244
0,-0.011307131558633037,0.8792525669612659
1,-0.029220560817058164,0.6953726360544341
2,-0.0039522943972856855,0.9578876749656282
3,-0.049730603636946646,0.5073509268066749
4,-0.03863395313197207,0.6076312455181943
5,-0.026975863828527243,0.720768152406167
6,-0.048698792357305634,0.5197784901475109
7,0.007637058173371555,0.9198707375306029
8,-0.010534594742143105,0.8899521826208677
9,-0.03753904191011227,0.6228761010149209
10,-0.05396571934788083,0.48070040104233713
11,-0.03279702331538534,0.6693010853703453
12,-0.04927057892233544,0.5221988788868263
13,-0.02851420929465781,0.7120443130367775
14,-0.03131043094608349,0.6861290388370689
15,0.003618399726050235,0.9628720309061453
16,-0.022857986982397507,0.7693616787352152
17,-0.022526019806225914,0.7732924173510273
18,0.011822890250045993,0.8801977816272581
19,-0.016837078439247515,0.830558175557654
20,-0.006102494920219258,0.9383749007824754
21,-0.04189656836577596,0.5965561106275941
22,-0.027652617571129783,0.7276862023087018
23,-0.017226080944729473,0.8288301438193103
24,0.005196409458263194,0.948167896169199
25,-0.01713621240792967,0.8307777351354385
26,-0.043710082187819535,0.5867380657720014
27,-7.858513210584617e-07,0.9999922315246689
28,-0.014522333793698217,0.8576648229899301
29,-0.011920036513602378,0.8833500442812369
30,-0.0035257382329014625,0.965499489230057
31,0.016443757213112753,0.8406420415279163
32,0.004760350119816736,0.953740349236779
33,0.05430676368528817,0.5092264947966332
34,0.002566198951166873,0.9752211384324633
35,-0.015236277425755895,0.8541732230694006
36,-0.050471970903171785,0.5437824249973933
37,-0.06545687010024098,0.4324756698786395
38,-0.0845981185614718,0.31168424434091363
39,-0.07444282931716482,0.37520836137448105
40,-0.0836627580118256,0.3205037035996828
41,-0.07211486479490474,0.3937350349875297
42,-0.06259460489302626,0.4608931490935831
43,-0.0783750868257671,0.357338019395608
44,-0.04807964990652555,0.5740770976081053
45,-0.0482234576676733,0.5743398791174991
46,0.001790894188605091,0.9834292656211308
47,0.005537457574264583,0.9489847837013513
48,0.00011477762052541918,0.9989458397430138
